-
имя			windranger
модель		models/heroes/windrunner/windrunner.vmdl
снаряд		particles/units/heroes/hero_windrunner/windrunner_base_attack.vpcf
редкость	обычный
тип			дамагер
хп			мало
скорость	средняя
дальность	высокая
тип_атаки	дальник
урон		средний
кулдаун		15
стоимость	20
скилл1		addonName_focus_fire
логика		сложный
одежда1		21
одежда2		22
одежда3		23
одежда4		24
одежда5		25
описание1	бла
описание	герой который быстро и эффективно убивает людей с большим количеством здоровья
еописание	Can save ally from death
